wavelength_nm,value,class,source_image,sample_id
2139.81,0.0028,contaminated,13,p213
2145.25,0.0036,contaminated,13,p213
2150.69,0.0056,contaminated,13,p213
2156.13,0.0032,contaminated,13,p213
2161.57,0.0042,contaminated,13,p213
2167.02,0.0025,contaminated,13,p213
2172.46,0.0031,contaminated,13,p213
2177.9,0.0066,contaminated,13,p213
2183.34,0.0045,contaminated,13,p213
2188.78,0.0062,contaminated,13,p213
2194.22,0.0029,contaminated,13,p213
2199.66,0.0022,contaminated,13,p213
2205.1,0.0021,contaminated,13,p213
2210.54,0.0037,contaminated,13,p213
2215.98,0.0004,contaminated,13,p213
2221.42,0.0026,contaminated,13,p213
2226.86,0.0038,contaminated,13,p213
2232.3,0.0028,contaminated,13,p213
2237.74,0.0005,contaminated,13,p213
2243.18,0.0075,contaminated,13,p213
2248.62,0.0045,contaminated,13,p213
2254.06,0.0015,contaminated,13,p213
2259.5,0.0048,contaminated,13,p213
2264.94,0.0038,contaminated,13,p213
2270.39,0.0019,contaminated,13,p213
2275.83,0.0023,contaminated,13,p213
2281.27,0.0011,contaminated,13,p213
2286.71,0.0051,contaminated,13,p213
2292.15,0.0029,contaminated,13,p213
2297.59,0.0018,contaminated,13,p213
2303.03,0.0033,contaminated,13,p213
2308.47,0.0,contaminated,13,p213
2313.91,0.0031,contaminated,13,p213
2319.35,0.005,contaminated,13,p213
2324.79,0.0011,contaminated,13,p213
2330.23,0.0037,contaminated,13,p213
2335.67,0.0027,contaminated,13,p213
2341.11,0.0017,contaminated,13,p213
2346.55,0.0,contaminated,13,p213
2351.99,0.04,contaminated,13,p213
2357.43,0.0,contaminated,13,p213
2362.87,0.0074,contaminated,13,p213
2368.32,0.0096,contaminated,13,p213
2373.76,0.0034,contaminated,13,p213
2379.2,0.0,contaminated,13,p213
2384.64,0.0,contaminated,13,p213
2390.08,0.0337,contaminated,13,p213
2395.52,0.0004,contaminated,13,p213
2400.96,0.0007,contaminated,13,p213
2406.4,0.041,contaminated,13,p213
2411.84,0.003,contaminated,13,p213
2417.28,0.0181,contaminated,13,p213
2422.72,0.0006,contaminated,13,p213
2428.16,0.0109,contaminated,13,p213
2433.6,0.0069,contaminated,13,p213
2439.04,0.0272,contaminated,13,p213
2444.48,0.0534,contaminated,13,p213
2449.92,0.0535,contaminated,13,p213
2455.36,0.0237,contaminated,13,p213
2460.8,0.0414,contaminated,13,p213
2466.24,0.0415,contaminated,13,p213
2471.69,0.0623,contaminated,13,p213
2477.13,0.0161,contaminated,13,p213
2482.57,0.021,contaminated,13,p213
2488.01,0.2132,contaminated,13,p213
2493.45,0.2267,contaminated,13,p213
2498.89,0.1856,contaminated,13,p213
414.13,0.0171,contaminated,13,p313
417.32,0.0191,contaminated,13,p313
420.52,0.0189,contaminated,13,p313
423.72,0.0181,contaminated,13,p313
426.91,0.021,contaminated,13,p313
430.11,0.0197,contaminated,13,p313
433.31,0.0171,contaminated,13,p313
436.5,0.0181,contaminated,13,p313
439.7,0.0214,contaminated,13,p313
442.9,0.0198,contaminated,13,p313
446.09,0.0192,contaminated,13,p313
449.29,0.0192,contaminated,13,p313
452.49,0.0182,contaminated,13,p313
455.68,0.0187,contaminated,13,p313
458.88,0.0192,contaminated,13,p313
462.08,0.0195,contaminated,13,p313
465.27,0.0194,contaminated,13,p313
468.47,0.0181,contaminated,13,p313
471.67,0.0193,contaminated,13,p313
474.86,0.019,contaminated,13,p313
478.06,0.0198,contaminated,13,p313
481.26,0.0218,contaminated,13,p313
484.45,0.0209,contaminated,13,p313
487.65,0.021,contaminated,13,p313
490.85,0.0203,contaminated,13,p313
494.04,0.0209,contaminated,13,p313
497.24,0.023,contaminated,13,p313
500.43,0.0236,contaminated,13,p313
503.63,0.0225,contaminated,13,p313
506.83,0.0255,contaminated,13,p313
510.03,0.0256,contaminated,13,p313
513.22,0.0274,contaminated,13,p313
516.42,0.0276,contaminated,13,p313
519.61,0.0279,contaminated,13,p313
522.81,0.0283,contaminated,13,p313
526.01,0.0304,contaminated,13,p313
529.2,0.0298,contaminated,13,p313
532.4,0.032,contaminated,13,p313
535.6,0.0325,contaminated,13,p313
538.79,0.0351,contaminated,13,p313
541.99,0.0354,contaminated,13,p313
545.19,0.0352,contaminated,13,p313
548.38,0.0366,contaminated,13,p313
551.58,0.0363,contaminated,13,p313
554.78,0.0371,contaminated,13,p313
557.97,0.0393,contaminated,13,p313
561.17,0.0387,contaminated,13,p313
564.37,0.0373,contaminated,13,p313
567.56,0.0397,contaminated,13,p313
570.76,0.0409,contaminated,13,p313
573.96,0.0394,contaminated,13,p313
577.15,0.0393,contaminated,13,p313
580.35,0.0398,contaminated,13,p313
583.55,0.0399,contaminated,13,p313
586.74,0.0408,contaminated,13,p313
589.94,0.0395,contaminated,13,p313
593.14,0.0388,contaminated,13,p313
596.33,0.0375,contaminated,13,p313
599.53,0.0375,contaminated,13,p313
602.73,0.037,contaminated,13,p313
605.92,0.0381,contaminated,13,p313
609.12,0.0372,contaminated,13,p313
612.32,0.0354,contaminated,13,p313
615.51,0.0359,contaminated,13,p313
618.71,0.034,contaminated,13,p313
621.91,0.0342,contaminated,13,p313
625.1,0.0345,contaminated,13,p313
628.3,0.0342,contaminated,13,p313
631.5,0.0335,contaminated,13,p313
634.69,0.0335,contaminated,13,p313
637.89,0.034,contaminated,13,p313
641.09,0.0344,contaminated,13,p313
644.28,0.0343,contaminated,13,p313
647.48,0.0356,contaminated,13,p313
650.67,0.0334,contaminated,13,p313
653.87,0.033,contaminated,13,p313
657.07,0.033,contaminated,13,p313
660.27,0.0289,contaminated,13,p313
663.46,0.0289,contaminated,13,p313
666.66,0.0257,contaminated,13,p313
669.85,0.0257,contaminated,13,p313
673.05,0.0243,contaminated,13,p313
676.25,0.0238,contaminated,13,p313
679.45,0.0244,contaminated,13,p313
682.64,0.0253,contaminated,13,p313
685.84,0.0295,contaminated,13,p313
689.03,0.029,contaminated,13,p313
692.23,0.0285,contaminated,13,p313
695.43,0.028,contaminated,13,p313
698.62,0.0275,contaminated,13,p313
701.82,0.0269,contaminated,13,p313
705.02,0.0264,contaminated,13,p313
708.21,0.0259,contaminated,13,p313
711.41,0.0254,contaminated,13,p313
714.61,0.0249,contaminated,13,p313
717.8,0.0244,contaminated,13,p313
721.0,0.0239,contaminated,13,p313
724.2,0.0234,contaminated,13,p313
727.39,0.0229,contaminated,13,p313
730.59,0.0223,contaminated,13,p313
733.79,0.0218,contaminated,13,p313
736.98,0.0213,contaminated,13,p313
740.18,0.0208,contaminated,13,p313
743.38,0.0219,contaminated,13,p313
746.57,0.0222,contaminated,13,p313
749.77,0.0234,contaminated,13,p313
752.97,0.0233,contaminated,13,p313
756.16,0.0232,contaminated,13,p313
759.36,0.0231,contaminated,13,p313
762.56,0.0229,contaminated,13,p313
765.75,0.0228,contaminated,13,p313
768.95,0.0227,contaminated,13,p313
772.15,0.0226,contaminated,13,p313
775.34,0.0219,contaminated,13,p313
778.54,0.0233,contaminated,13,p313
781.74,0.0228,contaminated,13,p313
784.93,0.0228,contaminated,13,p313
788.13,0.0246,contaminated,13,p313
791.33,0.0243,contaminated,13,p313
794.52,0.024,contaminated,13,p313
797.72,0.0237,contaminated,13,p313
800.92,0.0234,contaminated,13,p313
804.11,0.023,contaminated,13,p313
807.31,0.0227,contaminated,13,p313
810.51,0.0224,contaminated,13,p313
813.7,0.0221,contaminated,13,p313
816.9,0.0218,contaminated,13,p313
820.1,0.0215,contaminated,13,p313
823.29,0.0212,contaminated,13,p313
826.49,0.0208,contaminated,13,p313
829.68,0.0205,contaminated,13,p313
832.88,0.0202,contaminated,13,p313
836.08,0.0199,contaminated,13,p313
839.28,0.0196,contaminated,13,p313
842.47,0.0193,contaminated,13,p313
845.67,0.0202,contaminated,13,p313
848.86,0.0208,contaminated,13,p313
852.06,0.0223,contaminated,13,p313
855.26,0.0189,contaminated,13,p313
858.46,0.0214,contaminated,13,p313
861.65,0.0195,contaminated,13,p313
864.85,0.0206,contaminated,13,p313
868.04,0.0215,contaminated,13,p313
871.24,0.0191,contaminated,13,p313
874.44,0.0194,contaminated,13,p313
877.63,0.0199,contaminated,13,p313
880.83,0.0211,contaminated,13,p313
884.03,0.0203,contaminated,13,p313
887.22,0.0207,contaminated,13,p313
890.42,0.0202,contaminated,13,p313
893.62,0.0205,contaminated,13,p313
896.81,0.0205,contaminated,13,p313
900.01,0.0202,contaminated,13,p313
903.21,0.0199,contaminated,13,p313
906.4,0.0196,contaminated,13,p313
909.6,0.0193,contaminated,13,p313
912.8,0.019,contaminated,13,p313
915.99,0.0187,contaminated,13,p313
919.19,0.0184,contaminated,13,p313
922.39,0.0181,contaminated,13,p313
925.58,0.0178,contaminated,13,p313
928.78,0.0174,contaminated,13,p313
931.98,0.0171,contaminated,13,p313
935.17,0.0168,contaminated,13,p313
938.37,0.0165,contaminated,13,p313
941.57,0.0162,contaminated,13,p313
944.76,0.0159,contaminated,13,p313
947.96,0.0156,contaminated,13,p313
951.16,0.0153,contaminated,13,p313
954.35,0.015,contaminated,13,p313
957.55,0.0147,contaminated,13,p313
960.75,0.0144,contaminated,13,p313
963.94,0.0141,contaminated,13,p313
967.14,0.0137,contaminated,13,p313
970.1,0.0134,contaminated,13,p313
975.54,0.0132,contaminated,13,p313
980.98,0.0126,contaminated,13,p313
986.42,0.0121,contaminated,13,p313
991.86,0.0116,contaminated,13,p313
997.3,0.0111,contaminated,13,p313
1002.74,0.0105,contaminated,13,p313
1008.18,0.0101,contaminated,13,p313
1013.62,0.0101,contaminated,13,p313
1019.06,0.01,contaminated,13,p313
1024.5,0.01,contaminated,13,p313
1029.95,0.0099,contaminated,13,p313
1035.39,0.0103,contaminated,13,p313
1040.83,0.0106,contaminated,13,p313
1046.27,0.0105,contaminated,13,p313
1051.71,0.0106,contaminated,13,p313
1057.15,0.0116,contaminated,13,p313
1062.59,0.011,contaminated,13,p313
1068.03,0.0117,contaminated,13,p313
1073.47,0.011,contaminated,13,p313
1078.91,0.0104,contaminated,13,p313
1084.35,0.0104,contaminated,13,p313
1089.79,0.0103,contaminated,13,p313
1095.23,0.0103,contaminated,13,p313
1100.67,0.0103,contaminated,13,p313
1106.11,0.0102,contaminated,13,p313
1111.55,0.0102,contaminated,13,p313
1116.99,0.0102,contaminated,13,p313
1122.43,0.0101,contaminated,13,p313
1127.87,0.0101,contaminated,13,p313
1133.32,0.0101,contaminated,13,p313
1138.76,0.01,contaminated,13,p313
1144.2,0.01,contaminated,13,p313
1149.64,0.0099,contaminated,13,p313
1155.08,0.0099,contaminated,13,p313
1160.52,0.0099,contaminated,13,p313
1165.96,0.0098,contaminated,13,p313
1171.4,0.0098,contaminated,13,p313
1176.84,0.0098,contaminated,13,p313
1182.28,0.0097,contaminated,13,p313
1187.72,0.0097,contaminated,13,p313
1193.16,0.0097,contaminated,13,p313
1198.6,0.0113,contaminated,13,p313
1204.04,0.0105,contaminated,13,p313
1209.48,0.011,contaminated,13,p313
1214.92,0.0106,contaminated,13,p313
1220.36,0.0111,contaminated,13,p313
1225.8,0.0107,contaminated,13,p313
1231.24,0.0114,contaminated,13,p313
1236.69,0.0118,contaminated,13,p313
1242.13,0.0113,contaminated,13,p313
1247.57,0.0115,contaminated,13,p313
1253.01,0.0117,contaminated,13,p313
1258.45,0.0115,contaminated,13,p313
1263.89,0.0126,contaminated,13,p313
1269.33,0.0129,contaminated,13,p313
1274.77,0.01,contaminated,13,p313
1280.21,0.0111,contaminated,13,p313
1285.65,0.0109,contaminated,13,p313
1291.09,0.0108,contaminated,13,p313
1296.53,0.0114,contaminated,13,p313
1301.97,0.0112,contaminated,13,p313
1307.41,0.011,contaminated,13,p313
1312.85,0.0111,contaminated,13,p313
1318.29,0.0109,contaminated,13,p313
1323.73,0.0111,contaminated,13,p313
1329.17,0.0133,contaminated,13,p313
1334.61,0.013,contaminated,13,p313
1340.06,0.0127,contaminated,13,p313
1345.5,0.0124,contaminated,13,p313
1350.94,0.0121,contaminated,13,p313
1356.38,0.0118,contaminated,13,p313
1361.82,0.0115,contaminated,13,p313
1367.26,0.0112,contaminated,13,p313
1372.7,0.0109,contaminated,13,p313
1378.14,0.0106,contaminated,13,p313
1383.58,0.0103,contaminated,13,p313
1389.02,0.01,contaminated,13,p313
1394.46,0.0097,contaminated,13,p313
1399.9,0.0094,contaminated,13,p313
1405.34,0.0091,contaminated,13,p313
1410.78,0.0088,contaminated,13,p313
1416.22,0.0085,contaminated,13,p313
1421.66,0.0082,contaminated,13,p313
1427.1,0.0079,contaminated,13,p313
